"Employee Number","First Name","Last Name","Email Address","Department","Job Level","Tenure","Tenure Date","Pay Rate","Base Comp","Gender","Ethnicity","Report Effective Date"
"00000072","Michael","Garcia","michael.garcia@widgetcorp.com","Admin Offices","Director",7.92628688231795,2012-07-18,51.76,107657.803524771,"Male",4,2020-06-22
"00000107","Toua","Deguzman","toua.deguzman@widgetcorp.com","Admin Offices","Associate",7.21704955982519,2013-04-03,40.1,83415.7345753496,"Male",2,2020-06-22
"00000151","Jasmine","Bynog","jasmine.bynog@widgetcorp.com","Admin Offices","Manager",6.63534025379258,2013-11-02,39.08,81293.3320976231,"Female",3,2020-06-22
"00000156","Michelle","Metzger","michelle.metzger@widgetcorp.com","Admin Offices","Director",6.58709820749483,2013-11-20,43.09,89626.9251135471,"Female",1,2020-06-22
"00000210","Jacqueline","Escudero","jacqueline.escudero@widgetcorp.com","Admin Offices","Manager",5.96109829353055,2014-07-06,38.88,80860.0873244308,"Female",4,2020-06-22
"00000227","Destini","Jones","destini.jones@widgetcorp.com","Admin Offices","Associate",5.74109516635063,2014-09-25,34.76,72303.7491265359,"Female",3,2020-06-22
"00000305","Tiffany","Butcher","tiffany.butcher@widgetcorp.com","Admin Offices","Manager",5.10638386939046,2015-05-14,37.33,77654.2339063922,"Female",1,2020-06-22
"00000314","Fernando","Giron","fernando.giron@widgetcorp.com","Admin Offices","Associate",5.01510363780424,2015-06-17,39.24,81616.0416443334,"Male",4,2020-06-22
"00000330","Jaelene","Hopkins","jaelene.hopkins@widgetcorp.com","Admin Offices","Manager",4.85778085392968,2015-08-13,38.16,79380.5260879428,"Female",2,2020-06-22
"00000453","Tanner","Smith","tanner.smith@widgetcorp.com","Admin Offices","Analyst",3.61586929342635,2016-11-09,34.49,71745.7757797372,"Male",5,2020-06-22
"00000503","Aiman","al-Taha","aiman.al-taha@widgetcorp.com","Admin Offices","Analyst",2.99997603568491,2017-06-22,35.4,73623.4423307642,"Male",6,2020-06-22
