"Employee Number","First Name","Last Name","Email Address","Department","Job Level","Pay Rate","Base Comp","Gender","Ethnicity","Action Type","Tenure Date"
"00000072","Milton","Koskovich","milton.koskovich@widgetcorp.com","Complaince","Analyst",37.96,78953.1943933698,"Male",1,"Hire",2019-08-16
"00000045","Keely","Haring","keely.haring@widgetcorp.com","Design","Analyst",25.48,52994.9217575841,"Female",1,"Hire",2019-10-11
"00000228","Sabaah","al-Nawaz","sabaah.al-nawaz@widgetcorp.com","Design","Associate",36.42,75753.1147417122,"Male",6,"Hire",2019-01-14
"00000356","Alexandra","Kassmeier","alexandra.kassmeier@widgetcorp.com","Design","Analyst",29.19,60713.5387499665,"Female",5,"Hire",2019-11-20
"00000523","Salomon","Leyva Cardenas","salomon.leyva cardenas@widgetcorp.com","Design","Associate",38.57,80218.5371943799,"Male",4,"Hire",2019-12-14
"00000692","Preston","Faudoa Carrasco","preston.faudoa carrasco@widgetcorp.com","Design","Manager",34.88,72548.2520312748,"Male",4,"Hire",2019-03-14
"00000779","Brendan","Marks","brendan.marks@widgetcorp.com","Design","Associate",36.99,76938.7375209165,"Male",1,"Hire",2019-10-23
"00000962","Maria","Mendez","maria.mendez@widgetcorp.com","Design","Director",46.64,97017.5076607769,"Female",4,"Hire",2019-03-07
"00000029","Shaaheen","el-Atallah","shaaheen.el-atallah@widgetcorp.com","Engineering","Analyst",28.75,59799.1476173352,"Male",6,"Hire",2019-07-12
"00000381","Jewel","Quintana Jr","jewel.quintana jr@widgetcorp.com","Engineering","Analyst",28.84,59980.8657379899,"Female",1,"Hire",2019-12-06
"00000999","Thao","Ali","thao.ali@widgetcorp.com","Engineering","Executive",55.83,116133.462291442,"Female",2,"Hire",2019-07-31
"00000407","Gabrielle","Whitaker","gabrielle.whitaker@widgetcorp.com","Executive","Associate",55.04,114487.836344678,"Female",3,"Hire",2019-11-16
"00000453","Shajee'a","el-Maroun","shajee'a.el-maroun@widgetcorp.com","Finance","Analyst",29.23,60799.5488735594,"Female",6,"Hire",2019-04-27
"00000230","Fanio","Archuleta","fanio.archuleta@widgetcorp.com","HR","Associate",30.17,62747.2196633917,"Male",1,"Hire",2019-06-21
"00000720","Ruth","Loya","ruth.loya@widgetcorp.com","HR","Analyst",28.28,58830.0029285527,"Female",4,"Hire",2019-03-20
"00000934","Humaid","el-Siddique","humaid.el-siddique@widgetcorp.com","HR","VP",53.62,111524.468385485,"Male",6,"Hire",2019-09-08
"00000272","Alexander","Muldoon","alexander.muldoon@widgetcorp.com","IT/IS","Analyst",42.53,88459.0209709174,"Male",5,"Hire",2019-10-01
