"Employee Number","First Name","Last Name","Email Address","Department","Job Level","Tenure","Pay Rate","Base Comp","Gender","Ethnicity","Tenure Date","Report Effective Date"
"00000009","Ayush","Sevin","ayush.sevin@widgetcorp.com","Admin Offices","Analyst",1.51369809584232,38.08,79196.8228505998,"Male",2,2017-06-26,2018-12-31
"00000047","Jose","Montoya","jose.montoya@widgetcorp.com","Admin Offices","Analyst",2.49605143896081,39.23,81589.9139830461,"Male",4,2016-07-02,2018-12-31
"00000070","Sahheeda","el-Kazmi","sahheeda.el-kazmi@widgetcorp.com","Admin Offices","Analyst",2.81873903429,26.77,55688.5758995018,"Female",6,2016-03-06,2018-12-31
"00000292","Aaqil","Bohm","aaqil.bohm@widgetcorp.com","Admin Offices","Analyst",4.21659391576093,32.8,68214.0635408353,"Male",2,2014-10-12,2018-12-31
"00000324","Naseema","al-Jalil","naseema.al-jalil@widgetcorp.com","Admin Offices","Analyst",4.40252314982111,28.04,58322.1103924471,"Female",6,2014-08-05,2018-12-31
"00000337","Kameela","el-Abdoo","kameela.el-abdoo@widgetcorp.com","Admin Offices","Associate",4.47757758943826,32.06,66674.5258842822,"Female",6,2014-07-09,2018-12-31
"00000367","Jayce","Short","jayce.short@widgetcorp.com","Admin Offices","Associate",4.62817068139271,34.59,71937.5067915077,"Male",5,2014-05-15,2018-12-31
"00000369","Lorna","Archuleta","lorna.archuleta@widgetcorp.com","Admin Offices","Associate",4.64933355218362,30.1,62597.9963031841,"Female",2,2014-05-07,2018-12-31
"00000373","Toan","Key","toan.key@widgetcorp.com","Admin Offices","Analyst",4.66233302370424,38.13,79309.4939782456,"Male",2,2014-05-03,2018-12-31
"00000383","Raashid","el-Abdalla","raashid.el-abdalla@widgetcorp.com","Admin Offices","Director",4.71145619517625,53.68,111651.019386668,"Male",6,2014-04-15,2018-12-31
"00000454","Maazina","al-Husain","maazina.al-husain@widgetcorp.com","Admin Offices","Associate",5.0166103371658,33.14,68936.2382555646,"Female",6,2013-12-24,2018-12-31
"00000458","Berenice","Valdez-Refugio","berenice.valdez-refugio@widgetcorp.com","Admin Offices","Analyst",5.02709102746439,29.6,61566.4753326073,"Female",4,2013-12-20,2018-12-31
"00000519","Hissa","el-Hannan","hissa.el-hannan@widgetcorp.com","Admin Offices","Manager",5.3321638013073,35.34,73514.7760976423,"Female",6,2013-08-31,2018-12-31
"00000520","Mallory","De La Garza","mallory.de la garza@widgetcorp.com","Admin Offices","Associate",5.33502440370346,34.45,71654.0269446967,"Female",4,2013-08-30,2018-12-31
"00000565","Vicente","Miramontes","vicente.miramontes@widgetcorp.com","Admin Offices","Associate",5.54301637581892,37.05,77069.8134078381,"Male",4,2013-06-15,2018-12-31
"00000572","Alexander","Armitstead","alexander.armitstead@widgetcorp.com","Admin Offices","Analyst",5.56053224377184,32.42,67438.8341947313,"Male",5,2013-06-09,2018-12-31
"00000664","Uthmaa N","el-Galla","uthmaa n.el-galla@widgetcorp.com","Admin Offices","Manager",6.0805677597737,52.3,108777.010475539,"Male",6,2012-12-01,2018-12-31
"00000677","Emily","Jordan","emily.jordan@widgetcorp.com","Admin Offices","Analyst",6.15947042207972,31.98,66510.1471662154,"Female",5,2012-11-02,2018-12-31
"00000678","Jaquey","Shorty","jaquey.shorty@widgetcorp.com","Admin Offices","Analyst",6.16420591257136,49.77,103514.551545812,"Male",3,2012-10-31,2018-12-31
"00000751","Evanna","Brown","evanna.brown@widgetcorp.com","Admin Offices","Associate",6.54761804080917,32.27,67123.3437551018,"Female",4,2012-06-13,2018-12-31
"00000859","Fawqiyya","el-Saber","fawqiyya.el-saber@widgetcorp.com","Admin Offices","Director",7.48730784210279,44.28,92112.040207404,"Female",6,2011-07-06,2018-12-31
"00000867","Leslie","Picaso","leslie.picaso@widgetcorp.com","Admin Offices","Director",7.57777951381187,41.4,86115.7011042229,"Female",4,2011-06-03,2018-12-31
"00000888","Phillip","Tewolde","phillip.tewolde@widgetcorp.com","Admin Offices","Executive",7.83787295180401,57.43,119453.742977523,"Male",3,2011-02-28,2018-12-31
"00000904","Samuel","Jelly","samuel.jelly@widgetcorp.com","Admin Offices","VP",8.08626475988862,64.93,135062.7443794,"Male",1,2010-11-29,2018-12-31
"00000017","William","Torain","william.torain@widgetcorp.com","Complaince","Analyst",1.94940291193787,28.07,58388.2276633763,"Male",3,2017-01-17,2018-12-31
"00000033","Rachelle","Thomas","rachelle.thomas@widgetcorp.com","Complaince","Analyst",2.35575762213937,27.17,56519.0721007465,"Female",1,2016-08-22,2018-12-31
"00000063","Drue","Hightower","drue.hightower@widgetcorp.com","Complaince","Associate",2.72846726068525,37.87,78771.2626733887,"Male",3,2016-04-08,2018-12-31
"00000178","Husniyya","al-Nazir","husniyya.al-nazir@widgetcorp.com","Complaince","Analyst",3.68230736898303,26.93,56022.2401202746,"Female",6,2015-04-26,2018-12-31
"00000196","Kelsey","Nguyen","kelsey.nguyen@widgetcorp.com","Complaince","Analyst",3.76524831823409,27.75,57717.0277125113,"Female",2,2015-03-26,2018-12-31
"00000305","Edgar","Lopez","edgar.lopez@widgetcorp.com","Complaince","Analyst",4.32405256037234,37.33,77646.3690796446,"Male",4,2014-09-03,2018-12-31
"00000427","Erik","Sanders","erik.sanders@widgetcorp.com","Complaince","Associate",4.89498020465597,49.94,103873.650625054,"Male",4,2014-02-07,2018-12-31
"00000513","Marianne","Rem","marianne.rem@widgetcorp.com","Complaince","Associate",5.30741125216017,34.07,70864.888884715,"Female",2,2013-09-09,2018-12-31
"00000640","Alexander","Manganello","alexander.manganello@widgetcorp.com","Complaince","Analyst",5.91329677629863,31.8,66140.9698694321,"Male",2,2013-01-31,2018-12-31
"00000848","Christina","Blaze","christina.blaze@widgetcorp.com","Complaince","VP",7.40049323613823,48.62,101133.71731005,"Female",1,2011-08-06,2018-12-31
"00000040","Samuel","Liu","samuel.liu@widgetcorp.com","Design","Analyst",2.42677266570644,37.19,77364.7208965051,"Male",2,2016-07-27,2018-12-31
"00000074","Baasim","el-Naqvi","baasim.el-naqvi@widgetcorp.com","Design","Analyst",2.86863752059584,48.44,100750.140749863,"Male",6,2016-02-17,2018-12-31
"00000121","Rosa","Aragon","rosa.aragon@widgetcorp.com","Design","Analyst",3.30688573283161,28.39,59059.0677795278,"Female",4,2015-09-10,2018-12-31
"00000137","Alondra","Leos-Valles","alondra.leos-valles@widgetcorp.com","Design","Analyst",3.40821080301152,28.29,58834.8611048496,"Female",4,2015-08-04,2018-12-31
